drug_name,CanonicalSMILES,DepMap_ID,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,predicted ln(IC50),Top10 genes,Top10 pathways
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000023,PA-TU-8988T,1240201,PAAD,pancreas,pancreas,,2.0404882,"RBBP8, CASP3, MAP2K4, KRT33B, BAD, LDHC, PDHB, SEH1L, GTF2H1, SMAD4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000024,OPM-2,909249,MM,blood,myeloma,,1.2908269,"FGF21, CD28, ADRA1A, CCR1, UBA52, TUBA3C, FGF17, RELN, ITGB7, CCR10",hsa04151
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000030,PC-14,753608,LUAD,lung,lung_NSCLC_adenocarcinoma,,-2.762622,"KRT13, PLA2G10, WNT9A, PLA2G2C, SHC3, HKDC1, CUL3, CLDN9, IFNA13, CTF1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000035,NCI-H1650,687800,LUAD,lung,lung_NSCLC_adenocarcinoma,,1.3955663,"PAK2, GRIN3B, FGF20, EFNA4, SLC27A6, PLIN4, IFNL1, CCR3, BMP5, IL20RB",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000040,U-118-MG,687588,GBM,nervous_system,glioma,,2.3927596,"RBL1, RBX1, KRT39, PDGFA, IFNA2, GP5, BTRC, MAPKAPK5, CCL19, FGF7",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000042,PANC-02-03,1298475,PAAD,pancreas,pancreas,,0.93983877,"PDHB, PDHA1, CSNK2B, TAF11, RBX1, MAD2L2, ARRB2, ID3, PPP2R2D, PPP3CB",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000045,MV-4-11,908156,UNCLASSIFIED,blood,leukemia,,0.6779422,"FCGR1A, BAD, CCL23, CCR2, FLT3, LILRA1, HK3, PLA2G2C, IL3RA, HRH2",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000046,ACHN,905950,KIRC,kidney,kidney,,0.09656915,"CLDN16, GFAP, STAT4, EDN2, FXYD2, SCIN, GRIN2B, WNT2B, NTF3, STAT1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000048,TOV-112D,1299070,OV,urogenital_system,ovary,,1.8159992,"GCG, IGF1R, PRL, WNT16, STEAP3, FGF22, FZD3, NBL1, IL17A, KRT12",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000050,NCI-H929,724825,MM,blood,myeloma,,1.901033,"RRAS2, CASP7, BMP8B, CHD8, IGF1R, RHOA, STEAP3, WNT16, FRAT1, KRT12",hsa04151
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000052,A673,684052,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,,1.3897387,"PPP3R2, DVL1, ERN1, CACNG3, ACSBG2, BMP15, ADRB3, CAMK1G, ADRA1A, CER1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000053,KARPAS-299,907273,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,,1.5060524,"IL22, ICAM1, WNT9B, CLDN24, GRM1, IL26, PLA2G2D, GZMB, RHOA, IL18RAP",hsa04630
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000054,HT-1080,907064,UNCLASSIFIED,soft_tissue,fibrosarcoma,,2.7107813,"TUBA3E, HHIP, TUBA3C, PGF, COL6A3, EDA2R, CXCR6, HTR1D, ANPEP, ITGA10",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000055,D-283MED,906834,MB,nervous_system,medulloblastoma,,0.9422634,"GRM1, RHOA, CNGB3, RSPO1, CACNG5, CACNA1F, GIP, UBA2, HRC, GNB3",hsa04020
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000056,DOHH-2,906842,DLBC,blood,B_cell_lymphoma,,0.47711304,"CXCR5, LILRB1, MS4A1, NCF1, CD19, TNFRSF13C, CSF2RB, CD22, HLA-DOB, CYBB",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000059,SUP-B15,1247871,ALL,blood,lymphoblastic_leukemia,,1.271313,"FGF6, NFKBIA, ATP6V1C2, GP9, CASP12, ARPC5, GNB4, DNTT, IFNA14, CD34",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000060,PANC-10-05,925348,PAAD,pancreas,pancreas,,1.9706514,"SPOP, RASA1, GRPR, MAP2K1, LTB, CRLF2, TICAM1, PHKG2, CHAD, TAF10",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000061,HH,907056,UNCLASSIFIED,blood,T_cell_leukemia,,1.9758871,"IL21, CASP8, RASGRP2, CTSV, IFNGR1, EPHA2, TIGIT, CD2, CCR4, MMP7",hsa04810
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000065,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,,1.4538832,"CCL23, CR1, CXCR2, HLA-DOA, IL18RAP, FCGR1A, FCER2, HLA-DRB5, HK3, LPAR4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000070,697,906800,UNCLASSIFIED,blood,lymphoblastic_leukemia,,0.8927363,"TPCN1, TLE3, RAD50, MAP3K13, TIRAP, FN1, UBE2E3, TNFRSF10B, STIM1, IL17RC",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000072,MEG-01,908126,LCML,blood,chronic_myeloid_leukaemia,,1.0552624,"IFNK, ATP1B4, RASGRF1, GYPA, CR1L, GP6, ITGA2B, TRHR, OSM, PTGER3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000074,KU812,907311,LCML,blood,chronic_myeloid_leukaemia,,0.9399943,"CNTNAP2, FGF8, GDF2, GYPA, ACSBG1, WNT10B, GH2, NFATC2, TLE3, PDGFD",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000075,U-87-MG,687590,GBM,nervous_system,glioma,,2.8312716,"IL36B, CNGA3, ADCY8, ATP1A2, CSF3, CTSK, MYLK2, PDGFB, IRAK4, SELPLG",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000081,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,,1.2004707,"MPL, STAT1, WNT8A, HTR1F, CD34, RASGRP4, CX3CR1, MYLK, BMPR1A, FGF1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000087,SK-ES-1,684072,UNCLASSIFIED,bone,ewings_sarcoma,,1.6119405,"LDHAL6A, ASIP, CAMK1G, PTPN5, PTGER3, ADRA1A, GDF6, ATP2B3, CACNA1G, GNA14",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000090,PC-3,905934,PRAD,urogenital_system,prostate,,2.3547785,"FZD8, CXCL6, GRPR, PTPN5, CUL2, TNFRSF18, CLDN14, DVL1, INHBB, WNT7A",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000091,OV-56,1480362,OV,urogenital_system,ovary,,3.0909975,"TLR2, CLDN16, ADRA1B, PTTG2, FXYD2, PPP3CC, WNT2B, ITGA10, GREM1, PDGFRB",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000092,NCI-H2452,908462,MESO,lung,mesothelioma,,2.2032583,"TNXB, BDKRB1, GDF5, CUL2, STAM, NGF, MYLK2, PIK3CD, THBS2, HSPA1L",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000094,HPAF-II,724869,PAAD,pancreas,pancreas,,2.8285909,"PLA2G10, GRPR, EDAR, IL37, AQP7, CNGA1, PRKCG, NTSR1, CD55, IFNE",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000098,GAMG,906868,LGG,nervous_system,glioma,,1.9388671,"STAT6, RASA4, PCK2, CTSZ, ADCY7, PTPN6, ICAM3, LPAR2, ATF4, THBS3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000100,RH-41,1240210,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,,1.4699638,"TACR3, CASQ2, FGF8, GHR, CDH15, CD40, GDF2, CCL13, PIAS1, NOS1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000101,KE-37,907277,ALL,blood,lymphoblastic_leukemia,,0.942108,"RBPJL, CD2, CD1E, WDR24, CCR9, CD8A, CD1B, UCP1, CD58, CD6",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000102,GMS-10,906873,GBM,nervous_system,glioma,,0.785887,"ERBB2, LTBR, RPS27A, LAMTOR4, EIF4B, RB1, PTPN6, EFNA3, PDK1, SSBP1",hsa04151
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000103,Caov-4,949090,OV,urogenital_system,ovary,,1.5269855,"FGF18, ATP6V1B1, SST, NPR1, NLGN4X, GP6, NECTIN2, FLT4, SIAH1, FLNC",hsa04310
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000104,LOUCY,907789,ALL,blood,lymphoblastic_T_cell_leukaemia,,1.3275505,"NKD1, CCL27, ACSL1, HSPB1, ATF4, GP5, ITGAD, EPHA2, SOS1, IL18RAP",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000105,ALL-SIL,1295740,ALL,blood,T_cell_leukemia,,1.3212098,"ICOS, CD1A, CD1E, AKT3, CASP9, AREG, ACOX2, IL3RA, PPM1A, CCL3L3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000107,CAPAN-2,910915,PAAD,pancreas,pancreas,,2.2179208,"CXCR6, FGF19, FGF3, LDHAL6B, PLA2G10, TLR3, LTB, IL23A, CNGA1, ITGB6",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000108,KP-3,1298219,UNCLASSIFIED,pancreas,pancreas,,3.270339,"CNGA1, IL20RB, ITGA10, SGK2, CSF2RA, GRIN3B, HKDC1, ELOB, NTSR1, CLDN16",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000109,H3255,1247873,LUAD,lung,lung_NSCLC_adenocarcinoma,,-2.3799608,"CXCL17, PHKG1, PTGS2, CHAD, GRAP2, SCUBE2, CLDN9, EDNRA, HLA-DQB1, BUB1B-PAK6",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000111,HCC1187,749711,BRCA,breast,breast,,2.7940006,"CCL19, MAP3K7, RSPO1, CYP7A1, CCL21, PGR, TLR7, ACSBG1, LBP, GLP1R",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000113,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,,1.4061986,"HK3, TLR8, CCR5, FCGR1A, CCR2, RNF43, MYLK4, DFFB, BAD, CXCR2",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000114,SU8686,1240218,PAAD,pancreas,pancreas,,3.070204,"SELP, TNFSF11, KCNJ5, GADD45A, IFNL2, CYP8B1, ZNRF3, ITPKC, UCP1, ADCY4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000115,VCaP,1299075,PRAD,urogenital_system,prostate,,2.5323713,"WNT2, CYP7A1, CXCR6, AVPR1B, NPY, MYL9, PLA1A, TUBA3D, SDC4, IFNA6",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000116,OAW-28,946360,OV,urogenital_system,ovary,,3.0641944,"CYP8B1, DKK2, P2RX2, ADCY2, NLGN4X, YWHAE, CLDN6, VTCN1, UCP1, RPS6KA3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000117,EFM-192A,1290798,BRCA,breast,breast,,0.51098853,"P2RX2, CHRM1, UBE2Z, ERBB2, TGFB3, PLA2G10, VTCN1, CARD14, CREB3L4, CALML5",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000118,HuP-T3,907285,PAAD,pancreas,pancreas,,2.7379186,"ZNRF3, CRKL, FGF5, ATF4, KLHL9, CNGA1, GDF7, CSH2, APAF1, GRB2",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000120,CHP-212,906820,NB,nervous_system,neuroblastoma,,1.797757,"CCKAR, COL6A6, CRH, GREM2, GDF6, COMP, ITGA8, TNFSF18, CD36, HGF",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000121,NCI-H2405,687821,LUAD,lung,lung_NSCLC_adenocarcinoma,,4.462712,"SFRP5, CCL24, ADRA1B, RSPO2, CXCL6, GRIN2A, NTSR1, VCAM1, RELN, LAT",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000129,NCI-H1341,1330964,SCLC,lung,lung_small_cell_carcinoma,,2.5756094,"RXRG, LMNB2, CREBBP, SKP1, KRT28, PPP3CB, KIT, CNGA2, FABP2, CACNG5",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000137,8-MG-BA,687562,GBM,nervous_system,glioma,,1.201969,"MAP2K2, SOS2, GHRL, SIAH1, CD28, RASGRP2, PRKCG, GIT1, PRKCB, CACNA1S","hsa04151, hsa04014"
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000138,CFPAC-1,906821,PAAD,pancreas,pancreas,,0.6472797,"TNFSF11, SELP, AGTR1, CNGA1, LDHAL6B, CXCL6, RASA1, LDHC, CACNG6, LCK",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000139,PANC-03-27,925346,PAAD,pancreas,pancreas,,0.32490984,"ANAPC5, PPP3CB, BRAP, GTF2H3, ARNT, DIABLO, BABAM2, WDR59, CSNK2A1, ID3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000142,CAL-29,1290730,BLCA,urogenital_system,bladder,,0.8531955,"CALML3, HCAR2, HCAR3, CLDN8, PPP1CA, CASQ1, ATP1A4, KRT13, WNT4, BMP2",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000144,RERF-GC-1B,1240209,STAD,digestive_system,stomach,,2.0954506,"COMP, HTR1E, P2RX2, ACSBG1, SLC27A6, ENO4, WNT6, ATP1A4, IL9, PPP1CC",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000145,SK-LMS-1,909720,UNCLASSIFIED,soft_tissue,soft_tissue_other,,2.082258,"HTR1F, PTGFR, GDF5, KRT38, PLIN1, GREM2, PLCZ1, SSTR1, FGF7, CAMK1G",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000147,T47D,905945,BRCA,breast,breast,,1.7480347,"CCL21, PGR, EIF4E1B, SHC2, PIK3CA, PRLR, PDGFD, PTGER3, P2RX2, STK4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000148,Hs-578-T,905957,BRCA,breast,breast,,1.9525903,"ITGA8, AGTR1, CNGA3, ITGA11, COL6A3, IL1R1, OXTR, NGF, CXCL9, COL1A2",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000149,SK-N-SH,717431,NB,nervous_system,neuroblastoma,,1.7798277,"TUBA1C, STAT6, CD55, PERP, CTSZ, LTBR, ATF4, PPP2R5A, PTPN6, DDIT3",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000153,NCI-H2052,688058,MESO,lung,mesothelioma,,3.1411002,"GTF2H4, ATF6B, CSNK2B, HES1, DDIT4, TAF11, E2F3, PHKG1, FOS, MCM7",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000155,SW1990,910907,PAAD,pancreas,pancreas,,2.1450787,"WNT16, RRM2B, IL1A, NTSR1, LDHB, AKT1, PRKCG, ADRB2, CCNG1, CSNK2B",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000157,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma,,1.4725133,"TGFB2, MAP4K3, FZD4, PRR5L, IL10, PAK2, TTI1, LPIN3, EFNA4, FGF20",hsa04151
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000159,OS-RC-2,909250,KIRC,kidney,kidney,,2.2960851,"TSHB, WNT1, GRPR, GRIN2B, IL6, WNT10B, WNT2B, FXYD1, EDN2, EDA2R",hsa04024
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000161,COR-L105,906805,LUAD,lung,lung_NSCLC_adenocarcinoma,,-2.361286,"STK11, LDHB, LAMTOR3, CHEK2, HDAC1, GTF2B, PRPF19, EFCAB7, ORC3, ARPC4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000162,GA-10,1303896,UNCLASSIFIED,blood,Burkitt_lymphoma,,0.6640119,"RALB, HSPA1B, STAT3, ACTN1, GTF2IRD1, TNFRSF1A, YES1, PARD3, CAPN2, MAP3K13",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000168,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,,1.3482715,"TLR8, HK3, SSH3, ZFYVE16, CCL23, LILRA5, TNN, PPP1R12C, TNFRSF9, FGF9",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000169,RD,909264,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,,2.544782,"CASQ2, TNNC2, HJV, CACNG1, CACNA1S, EDN3, CDH15, FRZB, MSTN, HRC",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000171,VMRC-RCZ,909781,KIRC,kidney,kidney,,3.8364153,"FSHR, RELN, HTR2B, FXYD2, STAT1, ADCY10, PLA1A, PRKN, NPNT, CREB5",
